model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-6450	149	0.815388	870.446	5.842	0.799911
step-6500	149	0.814898	869.867	5.838	0.799911
step-6550	149	0.816747	872.771	5.858	0.799911
step-6600	149	0.813508	871.094	5.846	0.799911
step-6650	149	0.812349	871.338	5.848	0.799911
step-6700	149	0.815109	870.760	5.844	0.799911
step-6750	149	0.816757	871.825	5.851	0.799911
step-6800	149	0.814353	870.597	5.843	0.799911
step-6850	149	0.817634	871.771	5.851	0.799911
step-6900	149	0.816925	870.030	5.839	0.799911
step-6950	149	0.815710	872.740	5.857	0.799911
step-7000	149	0.816459	872.108	5.853	0.799911
step-7050	149	0.815719	869.408	5.835	0.799911
