model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-28700	149	0.827730	870.684	5.844	0.799911
step-28750	149	0.827251	872.235	5.854	0.799911
step-28800	149	0.825421	883.506	5.930	0.799911
step-28850	149	0.827516	878.401	5.895	0.799911
step-28900	149	0.826713	871.396	5.848	0.799911
step-28950	149	0.827306	876.402	5.882	0.799911
step-29000	149	0.827729	866.153	5.813	0.799911
step-29050	149	0.827882	871.822	5.851	0.799911
step-29100	149	0.827085	872.328	5.855	0.799911
step-29150	149	0.827117	869.030	5.832	0.799911
step-29200	149	0.827561	877.514	5.889	0.799911
step-29250	149	0.825787	869.652	5.837	0.799911
step-29300	149	0.827684	878.506	5.896	0.799911
step-29350	149	0.829053	872.107	5.853	0.799911
step-29400	149	0.827262	875.169	5.874	0.799911
step-29450	149	0.828394	863.995	5.799	0.799911
step-29500	149	0.828720	865.025	5.806	0.799911
step-29550	149	0.826328	857.178	5.753	0.799911
step-29600	149	0.827140	869.382	5.835	0.799911
step-29650	149	0.825598	865.994	5.812	0.799911
step-29700	149	0.827540	877.069	5.886	0.799911
step-29750	149	0.827054	878.878	5.899	0.799911
step-29800	149	0.828775	870.387	5.842	0.799911
step-29850	149	0.827417	870.411	5.842	0.799911
step-29900	149	0.827329	856.455	5.748	0.799911
step-29950	149	0.827287	875.328	5.875	0.799911
step-30000	149	0.828026	871.475	5.849	0.799911
step-30050	149	0.828460	860.459	5.775	0.799911
step-30100	149	0.826506	874.246	5.867	0.799911
step-30150	149	0.827056	875.352	5.875	0.799911
step-30200	149	0.828349	880.507	5.909	0.799911
step-30250	149	0.828337	870.473	5.842	0.799911
step-30300	149	0.828065	848.693	5.696	0.799911
step-30350	149	0.828124	870.729	5.844	0.799911
step-30400	149	0.827643	857.096	5.752	0.799911
step-30450	149	0.826832	856.876	5.751	0.799911
step-30500	149	0.827796	865.122	5.806	0.799911
step-30550	149	0.828470	879.594	5.903	0.799911
step-30600	149	0.827777	874.137	5.867	0.799911
step-30650	149	0.827186	857.327	5.754	0.799911
step-30700	149	0.826782	873.857	5.865	0.799911
step-30750	149	0.827158	870.322	5.841	0.799911
step-30800	149	0.828340	869.347	5.835	0.799911
step-30850	149	0.828273	877.011	5.886	0.799911
step-30900	149	0.827519	873.355	5.861	0.799911
step-30950	149	0.828687	868.432	5.828	0.799911
step-31000	149	0.827882	872.907	5.858	0.799911
